Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,71046,"Pierre Sermanet","2014-02-01 21:43:19",0.98914,5,pierresermanet
2,71949,orchid,"2014-02-01 23:52:30",0.98308,17,orchid
3,72059,Owen,"2014-02-01 17:04:40",0.98171,15,owenzhang1
4,74563,"Paul Covington","2014-02-01 23:05:20",0.98171,3,pcovington
5,66623,"Maxim Milakov","2014-02-01 18:20:58",0.98137,24,milakov
6,74298,"we've been in KAIST","2014-02-01 21:15:30",0.98102,8,"donghyun,jaehyunlim"
7,73970,"Doug Koch","2014-02-01 23:36:38",0.98057,6,dougkoch
8,69971,fastml.com/cats-and-dogs,"2014-01-29 20:41:31",0.98000,6,zygmunt
9,71912,"Luca Massaron","2014-02-01 19:39:12",0.97965,23,lucamassaron
10,61197,"Daniel Nouri","2014-01-17 18:39:20",0.97851,13,dnouri
11,72715,anton,"2014-02-01 23:55:10",0.97771,6,anton14
12,72749,miacis,"2014-01-30 23:46:01",0.97748,7,takagiwa
13,65310,DaggerFS,"2013-11-18 17:54:09",0.97691,4,daggerfs
14,71542,jun,"2014-02-01 23:21:49",0.97645,13,junwang4
15,62775,Matt,"2014-01-31 19:32:00",0.97542,47,mattvonrohr
16,74441,Boost.Wu,"2014-01-31 07:33:09",0.97440,2,wugang
17,61312,Charlie,"2014-01-25 22:52:46",0.97417,10,neocortex
18,71961,"Kien Trinh","2014-02-01 03:52:52",0.97405,10,neikusc
19,59417,Abhishek,"2014-02-01 00:01:32",0.97348,33,abhishek
20,70985,sdadas,"2014-01-31 14:27:43",0.97325,21,sdadas
21,65497,"Kyle Kastner","2014-01-29 20:08:39",0.97222,22,kastnerkyle
22,74219,MachineLearner,"2014-01-30 20:58:34",0.97028,4,mlsword
23,74067,mymo,"2014-02-01 18:25:56",0.97017,8,mamymo
24,71288,"Dmitriy Anisimov","2014-02-01 00:16:09",0.96994,9,dmitriyanisimov
25,71529,"Josef Feigl","2014-01-31 18:24:42",0.96982,10,joseffeigl
26,74274,"The Cat of Wall Street","2014-02-01 15:53:25",0.96971,7,"alexginsca,personanondata"
27,59502,Jeff,"2013-09-26 13:54:31",0.96948,2,jeffdonahue
28,69556,jiki,"2014-01-17 04:52:35",0.96880,16,jiki103869
29,72149,"N. McA.","2014-02-01 13:14:51",0.96742,10,natmca
30,72169,dkay,"2014-02-01 21:11:37",0.96731,27,dkaylor
31,73811,chowmein,"2014-01-30 03:39:31",0.96662,6,chowmein1
32,62419,Jamie,"2014-01-30 08:38:34",0.96662,12,ryankiros
33,73846,:-),"2014-02-01 17:21:04",0.96640,7,confirm
34,72565,jajo,"2014-02-01 22:20:46",0.96640,10,djajetic
35,69071,amunategui,"2014-01-25 01:53:17",0.96548,42,amunategui
36,69570,sb&paf,"2014-01-27 23:33:56",0.96548,10,sbachish
37,72215,Sandeep,"2014-02-01 19:24:41",0.96537,9,sandeepmkh
38,62460,wqren,"2013-10-23 02:12:19",0.96525,4,weiqiangren
39,72191,"Jean-François Veillette","2014-01-29 01:24:20",0.96445,4,jimonji
40,69992,"Piotr Kuchta","2014-02-01 21:43:58",0.96377,12,piotrkuchta
41,73941,"Pepper Miller","2014-01-29 03:08:02",0.96297,3,peppermiller
42,72226,db,"2014-01-31 06:47:01",0.96274,8,dbolotov
43,72655,"Dmitry Krivokon","2014-01-23 17:31:28",0.96251,2,dmitrykrivokon
44,71505,Hid,"2014-01-28 14:22:58",0.96251,23,atelierhide
45,72034,"dogs have owners, cats have staff","2014-01-31 04:16:45",0.96228,10,zerozero
46,72783,"Kun Zhang","2014-01-30 04:25:59",0.96228,12,kunzhang
47,69857,AK,"2014-02-01 07:59:40",0.96194,8,iamandreas
48,71345,WOW,"2014-01-24 04:58:36",0.96160,6,chenyuefeng
49,74007,Andrew,"2014-02-01 08:45:54",0.96148,10,acarter
50,74575,Jelena,"2014-02-01 21:14:54",0.96137,4,uzunovic
51,74453,tloinuy,"2014-02-01 23:18:28",0.96034,4,tloinuy
52,59407,fmeyer,"2014-01-29 11:55:14",0.95725,5,fmeyer
53,74481,jyaangu,"2014-01-31 06:03:08",0.95691,2,jyaangu
54,73844,"Who Let the Dogs Out","2014-01-31 08:23:51",0.95440,11,sigint
55,74539,selim,"2014-02-01 23:57:56",0.95325,4,selimte
56,71728,"Julian de Wit","2014-02-01 10:34:38",0.95245,11,juliandewit
57,61471,naxeji,"2013-10-24 19:00:57",0.95120,10,naxat88
58,68665,"Jonathan Anderson","2014-01-25 09:26:37",0.95085,14,jontis
59,73848,"David Logsdon","2014-02-01 12:54:37",0.95074,8,davidlogsdon
60,72004,"jacopo hirschstein","2014-01-31 14:47:39",0.95005,6,jacopohirschstein
61,64233,Maurits,"2014-01-30 13:38:41",0.94994,4,maurits
62,74559,"Justin Sheek","2014-02-01 02:12:04",0.94971,2,justinsheek
63,73808,Mr.Fede,"2014-01-31 14:00:09",0.94948,5,fedecape
64,73834,stevenwudi,"2014-01-27 12:15:03",0.94937,3,stevenwudi
65,74332,tortuguero,"2014-02-01 16:48:36",0.94914,3,tdomhan
66,74658,"Dominic Breuker","2014-02-01 17:05:30",0.94845,2,breuker
67,62409,UA_551,"2013-12-16 18:48:08",0.94057,22,"dongbeibei,yanliu0,zkfairytale"
68,74081,"Hal 9001","2014-01-28 18:23:57",0.93874,3,hal90011
69,64799,Poly,"2013-11-17 09:19:38",0.92594,4,"pierrefroumenty,sek99076"
70,69302,Safadurimo,"2014-02-01 16:05:37",0.92548,6,safadurimo
71,66851,FATE,"2013-11-30 04:58:19",0.92022,4,chu129828
72,72777,"Raja V P","2014-02-01 23:43:30",0.91428,5,rajavpalanisamy
73,71660,gavinmh,"2014-01-14 02:07:35",0.88994,1,gavinmh
74,73830,satropy,"2014-01-28 16:18:16",0.88777,2,satropy
75,68347,"[Deleted] cc95eb80-8d31-4349-9f35-39ab7a40654c","2013-12-11 19:23:04",0.88720,3,del=d434dd3f29aa2704
76,70509,"Rahul Shivkumar","2014-01-27 14:53:02",0.88685,2,rahulshiv
77,63645,Kadam,"2014-02-01 12:55:30",0.88674,2,nileshkadam
78,62150,prof_data,"2014-01-31 18:52:15",0.88605,4,seemslegit
79,63039,Makeene,"2013-12-16 20:57:12",0.86422,3,"hiandbaii,jasontam"
80,62385,CooperUnion,"2014-01-29 17:06:14",0.85931,6,"benschenker,elizabethkilson"
81,59866,"Chris Goller","2013-10-06 18:11:45",0.85668,4,chrisgoller
82,59411,smpl,"2013-09-25 23:58:31",0.84914,2,smpl128237
83,68099,"One Old Dog","2014-02-01 23:46:04",0.84857,39,dslate
84,59387,benmanns,"2013-09-25 21:32:10",0.84308,2,benmanns
85,66375,vu.pham,"2013-11-30 10:05:39",0.83748,7,vupham
86,71514,"Yufei Zhao","2014-01-14 06:58:01",0.82948,4,yufeizhao
87,66135,"Qiwei Feng","2013-12-19 07:04:39",0.82754,9,qiweifeng
88,64931,disgon,"2014-02-01 23:58:42",0.80674,4,"vbardiovsky,vojtechbardiovsky"
89,59552,nmiller,"2013-10-20 04:04:12",0.80217,5,nmiller
90,70267,"Kirubakumaresh R","2014-01-25 04:22:13",0.79474,1,kirubakumaresh
91,59606,"Jaco Cronje","2013-09-27 11:39:01",0.78560,1,jacocronje
92,72322,SRK,"2014-01-27 08:24:52",0.78331,8,sudalairajkumar
93,69818,JMT5802,"2014-01-24 00:18:23",0.77737,11,jimthompson
94,65370,Daniel,"2013-12-11 17:41:43",0.77485,4,daniel51
95,72426,Isaac,"2014-02-01 07:28:40",0.77245,8,ginotesei
96,60560,xxlll35xx,"2013-10-07 00:00:19",0.76731,3,xxlll35xx
97,74696,"Daniel 2","2014-02-01 23:33:31",0.76594,1,danielyoo
98,69536,"Allen Tran","2014-01-09 17:38:20",0.75737,2,allentran0
99,69046,"Phillip Chilton Adkins","2013-12-13 08:22:16",0.74651,1,phillipadkins
100,60285,"Jared Huling","2013-10-08 14:53:38",0.74594,5,jhuling
101,62948,surya,"2013-11-15 19:23:04",0.74480,7,suryavanshi
102,71449,HWDA,"2014-02-01 22:56:19",0.74342,1,buckaroobanzai
103,66448,"Gil Levi","2013-12-14 14:31:49",0.73405,3,gillevi
104,61703,"David Rolland","2013-10-24 21:14:02",0.73371,4,rold2007
105,60291,duni,"2013-11-28 07:55:27",0.73268,4,foobarbazquux
106,70044,Mini,"2014-01-14 23:06:26",0.73005,7,puzzled
